"Elección","Lista/Pacto","Candidato Nombre","Candidato Apellido Paterno","Candidato Apellido Materno","Genero","Partido Politico","Adhiere a Candidato Transparente","Web Site","Facebook","Twitter","Distrito","Comunas"
"Senador(a)","La fuerza de la Mayoria","Jorge","Soria","Quiroga","Masculino","Independiente","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Franitza","Mitrovic","Varela","Femenino","Independiente","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Astrid","Abarca","Ibarra","Femenino","Independiente","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Lautaro","Carmona","Soto","Masculino","Partido Comunista de Chile","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Alberto","Robles","Pantoja","Masculino","Partido Radical Socialdemócrata","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Carolina","Peralta","Aravena","Femenino","Partido Por la Democracia","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Ricardo","Lagos","Weber","Masculino","Partido Por la Democracia","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Josefina","Bustamante","Díaz","Femenino","Partido Radical Socialdemócrata","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Nelson Jaime","Ávila","Contreras","Masculino","Partido Radical Socialdemócrata","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Marco Antonio","Núñez","Lozano","Masculino","Partido Por la Democracia","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Abel","Gallardo","Pérez","Masculino","Partido Socialista de Chile","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Isabel","Allende","Bussi","Femenino","Partido Socialista de Chile","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Álvaro","Elizalde","Soto","Masculino","Partido Socialista de Chile","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Liliana","Caro","Vera","Femenino","Partido Por la Democracia","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Jorge Carlos","Tarud","Daccarett","Masculino","Partido Por la Democracia","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Carlos","Villalobos","Sepúlveda","Masculino","Partido Socialista de Chile","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Viviana","Landaeta","Parra","Femenino","Partido Socialista de Chile","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Patricia del Carmen","Coñoman","Carrillo","Femenino","Partido Comunista de Chile","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Jaime","Quintana","Leal","Masculino","Partido Por la Democracia","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Alberto Antonio","Pizarro","Chañilao","Masculino","Partido Por la Democracia","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Flor","Domínguez","Rosas","Femenino","Partido Socialista de Chile","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Camilo","Escalona","Medina","Masculino","Partido Socialista de Chile","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Ximena","Ordenes","Neira","Femenino","Independiente","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Luperciano Segundo","Muñoz","González","Masculino","Independiente","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","José Miguel","Insulza","Salinas","Masculino","Partido Socialista de Chile","No","","","","",""
"Senador(a)","La fuerza de la Mayoria","Salvador Pedro","Urrutia","Cárdenas","Masculino","Independiente","No","","","","",""
"Senador(a)","Unión Patriótica","Vlademir","Venegas","Sanhueza","Masculino","Union patriotica","No","","","","",""
"Senador(a)","Unión Patriótica","Berta","Caro","Morales","Femenino","Union patriotica","No","","","","",""
"Senador(a)","Unión Patriótica","Luis","Aravena","Egaña","Masculino","Union patriotica","No","","","","",""
"Senador(a)","Independiente","Fulvio","Rossi","Ciocca","Masculino","Independiente","No","","","","",""
"Senador(a)","Independiente","Gaspar","Rivas","Sánchez","Masculino","Independiente","No","","","","",""
"Senador(a)","Independiente","Rojo","Edwards","Silva","Masculino","Independiente","No","","","","",""
"Senador(a)","Independiente","Enrique","Lee","Flores","Masculino","Independiente","No","","","","",""
"Senador(a)","Por Todo Chile","Héctor Christian","Pérez","Meneses","Masculino","Independiente","No","","","","",""
"Senador(a)","Por Todo Chile","Pamela Aida","Jiménez","Gallardo","Femenino","Partido Progresista","No","","","","",""
"Senador(a)","Por Todo Chile","Gustavo Aurelio","Ruz","Zañartu","Masculino","Independiente","No","","","","",""
"Senador(a)","Por Todo Chile","María  Cecilia de Lourdes","Romero","Peña","Femenino","Partido País","No","","","","",""
"Senador(a)","Por Todo Chile","Sandra Beatriz","Alfaro","Chávez","Femenino","Partido Progresista","No","","","","",""
"Senador(a)","Por Todo Chile","Sandra Cecilia","zapata ","Velázquez","Femenino","Independiente","No","","","","",""
"Senador(a)","Por Todo Chile","Pablo Antonio","Pizarro","Bossay","Masculino","Independiente","No","","","","",""
"Senador(a)","Coalición Regionalista Verde","Carlos Adolfo","Pérez","Osorio","Masculino","Partido Democracia Regional Patagónica","No","","","","",""
"Senador(a)","Frente Amplio","Rigoberto del Carmen","Rojas","Sarapura","Masculino","Independiente","No","","","","",""
"Senador(a)","Frente Amplio","Gloria","Guzmán","Rojas","Femenino","Partido Poder","No","","","","",""
"Senador(a)","Frente Amplio","Octavio","González","Ojeda","Masculino","Partido Humanista","No","","","","",""
"Senador(a)","Frente Amplio","Mónica","Valencia","Becerra","Femenino","Partido Igualdad","No","","","","",""
"Senador(a)","Frente Amplio","Juan Ignacio","Latorre","Riveros","Masculino","Revolución Democrática","Sí","http://latorresenador.cl","","https://twitter.com/LatorreJI","",""
"Senador(a)","Frente Amplio","Wilfredo","Alfsen","Ovando","Masculino","Partido Humanista","No","","","","",""
"Senador(a)","Frente Amplio","María  Eugenia","Lorenzini","Lorenzini","Femenino","Revolución Democrática","No","","","","",""
"Senador(a)","Frente Amplio","Jimena","Arias","Quiroga","Femenino","Partido Humanista","No","","","","",""
"Senador(a)","Frente Amplio","Yuri","Sepúlveda","González","Masculino","Independiente","No","","","","",""
"Senador(a)","Frente Amplio","Marta","Guerra","Medina","Femenino","Partido Humanista","No","","","","",""
"Senador(a)","Frente Amplio","Aucan","Huilcaman","Paillama","Masculino","Independiente","No","","","","",""
"Senador(a)","Frente Amplio","Gloria","Mujica","Ascui","Femenino","Partido Humanista","No","","","","",""
"Senador(a)","Frente Amplio","Lucía  Cecilia","Tormen","Mendez","Femenino","Partido Humanista","No","","","","",""
"Senador(a)","Frente Amplio","Gabriela Paz","Meléndez ","Tormen","Femenino","Partido Humanista","No","","","","",""
"Senador(a)","Frente Amplio","Juan","Ortiz","Soto","Masculino","Partido Humanista","No","","","","",""
"Senador(a)","Frente Amplio","Alejandro","Barrientos","Álvarez ","Masculino","Revolución Democrática","No","","","","",""
"Senador(a)","Frente Amplio","Jenny del Carmen","Rivera","Roa","Femenino","Revolución Democrática","No","","","","",""
"Senador(a)","Frente Amplio","Claudio","Ojeda","Murillo","Masculino","Partido Humanista","No","","","","",""
"Senador(a)","Frente Amplio","Verónica","Foppiano","Díaz","Femenino","Partido Liberal de Chile","No","","","","",""
"Senador(a)","Frente Amplio","Rodrigo","Díaz","Bogdanic","Masculino","Partido Poder","No","","","","",""
"Senador(a)","Convergencia Democrática","Yasna","Provoste","Campillay","Femenino","Partido Demócrata Cristiano","No","","","","",""
"Senador(a)","Convergencia Democrática","Oriele Angelina","Zencovich ","Madrid","Femenino","Partido Demócrata Cristiano","No","","","","",""
"Senador(a)","Convergencia Democrática","Aldo Vicente","Cornejo","González","Masculino","Partido Demócrata Cristiano","No","","","","",""
"Senador(a)","Convergencia Democrática","Ignacio","Walker","Prieto","Masculino","Partido Demócrata Cristiano","No","","","","",""
"Senador(a)","Convergencia Democrática","Andrés","Zaldívar","Larraín","Masculino","Partido Demócrata Cristiano","No","","","","",""
"Senador(a)","Convergencia Democrática","Ximena","Rincón","González","Femenino","Partido Demócrata Cristiano","No","","","","",""
"Senador(a)","Convergencia Democrática","Francisco","Huenchumilla","Jaramillo","Masculino","Partido Demócrata Cristiano","No","","","","",""
"Senador(a)","Convergencia Democrática","Fuad Eduardo","Chahín ","Valenzuela","Masculino","Partido Demócrata Cristiano","No","","","","",""
"Senador(a)","Convergencia Democrática","Hernán","Vodanovic","Schnake","Masculino","Independiente","No","","","","",""
"Senador(a)","Convergencia Democrática","Paz Maritza","Foitzich","Sandoval","Femenino","Partido Demócrata Cristiano","No","","","","",""
"Senador(a)","Convergencia Democrática","Eduardo","Cruces","Burgos","Masculino","Partido Demócrata Cristiano","No","","","","",""
"Senador(a)","Convergencia Democrática","Trinidad Victoria","Parra","Correa","Femenino","Independiente","No","","","","",""
"Senador(a)","Sumemos","Priscilla Lorena","Vergara","Bravo","Femenino","Independiente","No","","","","",""
"Senador(a)","Sumemos","Alejandra del Carmen","Guajardo","Bizama","Femenino","Independiente","No","","","","",""
"Senador(a)","Sumemos","Gabriel","Gurovich","Steiner","Masculino","Todos","No","","","","",""
"Senador(a)","Sumemos","Ana","Cuadros","Matamala","Femenino","Amplitud","No","","","","",""
"Senador(a)","Sumemos","Pedro","Sariego","Pasten ","Masculino","Amplitud","No","","","","",""
"Senador(a)","Sumemos","Oscar","Rementería","Palomino","Masculino","Independiente","No","","","","",""
"Senador(a)","Sumemos","Lily","Pérez","San Martín","Femenino","Amplitud","Sí","","","","",""
"Senador(a)","Sumemos","Alberto Eduardo","Núñez","Ponce","Masculino","Amplitud","No","","","","",""
"Senador(a)","Sumemos","Julián Andrés","Ugarte","Fuentes","Masculino","Independiente","No","","","","",""
"Senador(a)","Sumemos","Alberto Nicanor","Martínez ","Moya","Masculino","Independiente","No","","","","",""
"Senador(a)","Sumemos","Grace Maricel","Salazar","Barra","Femenino","Independiente","No","","","","",""
"Senador(a)","Sumemos","Esteban","Bravo","Moreno","Masculino","Independiente","No","","","","",""
"Senador(a)","Sumemos","Andrés","Velasco","Brañes","Masculino","Ciudadanos","No","","","","",""
"Senador(a)","Sumemos","Paula Andrea","Romero","Neira","Femenino","Ciudadanos","No","","","","",""
"Senador(a)","Sumemos","Ema","Vidal","Díaz ","Femenino","Amplitud","No","","","","",""
"Senador(a)","Sumemos","Juan Edilberto","Ramírez","Villagra","Masculino","Amplitud","No","","","","",""
"Senador(a)","Sumemos","Eduardo","Díaz ","Herrera","Masculino","Amplitud","No","","","","",""
"Senador(a)","Sumemos","Tatiana","Rudolph","Espinoza","Femenino","Amplitud","No","","","","",""
"Senador(a)","Sumemos","Carlos Celso","Chávez ","Marchant","Masculino","Independiente","No","","","","",""
"Senador(a)","Sumemos","Raúl","Vargas","Fourcade","Masculino","Todos","No","","","","",""
"Senador(a)","Chile Vamos","Pamela","Boyardi","Villalobos","Femenino","Renovación Nacional","No","","","","",""
"Senador(a)","Chile Vamos","Juan Carlos","Carreño","Carmona","Masculino","Renovación Nacional","No","","","","",""
"Senador(a)","Chile Vamos","Luz ","Ebensperger","Orrego","Femenino","Partido Unión Demócrata Independiente","No","","","","",""
"Senador(a)","Chile Vamos","Rafael","Prohens","Espinosa","Masculino","Renovación Nacional","No","","","","",""
"Senador(a)","Chile Vamos","Felipe ","Ward","Edwards","Masculino","Partido Unión Demócrata Independiente","No","","","","",""
"Senador(a)","Chile Vamos","Francisco","chahuán","Chahuán","Masculino","Renovación Nacional","No","","","","",""
"Senador(a)","Chile Vamos","Francisco","Bartolucci","Johnston","Masculino","Partido Unión Demócrata Independiente","No","","","","",""
"Senador(a)","Chile Vamos","Ximena","Ramírez","Gutiérrez ","Femenino","Partido Unión Demócrata Independiente","No","","","","",""
"Senador(a)","Chile Vamos","Carmen Ximena","Zamora","Bravo","Femenino","Renovación Nacional","No","","","","",""
"Senador(a)","Chile Vamos","Andrea","Molina","Oliva","Femenino","Partido Unión Demócrata Independiente","No","","","","",""
"Senador(a)","Chile Vamos","Kenneth","Pugh","Olavarría","Masculino","Independiente","No","","","","",""
"Senador(a)","Chile Vamos","Francisca","Concha","Le-Beuffe","Femenino","Independiente","No","","","","",""
"Senador(a)","Chile Vamos","Yasna","Cancino","Rosson","Femenino","Independiente","No","","","","",""
"Senador(a)","Chile Vamos","Macarena","Pons","Porcile","Femenino","Independiente","No","","","","",""
"Senador(a)","Chile Vamos","Juan","Castro","Prieto","Masculino","Independiente","Sí","http://www.juancastro.cl","","https://twitter.com/juancastro2018","",""
"Senador(a)","Chile Vamos","Juan Antonio","Coloma","Correa","Masculino","Partido Unión Demócrata Independiente","No","","","","",""
"Senador(a)","Chile Vamos","Rodrigo","Galilea","Vial","Masculino","Renovación Nacional","No","","","","",""
"Senador(a)","Chile Vamos","Felipe ","Kast","Sommerhoff","Masculino","Evolución Política","No","","","","",""
"Senador(a)","Chile Vamos","Gustavo","Hasbún","Selume","Masculino","Partido Unión Demócrata Independiente","No","","","","",""
"Senador(a)","Chile Vamos","Germán","Becker","Alvear","Masculino","Renovación Nacional","No","","","","",""
"Senador(a)","Chile Vamos","Carmen Gloria","Aravena","Acuña","Femenino","Evolución Política","No","","","","",""
"Senador(a)","Chile Vamos","José","García","Ruminot","Masculino","Renovación Nacional","No","","","","",""
"Senador(a)","Chile Vamos","José","Villagran","Sandoval","Masculino","Partido Unión Demócrata Independiente","No","","","","",""
"Senador(a)","Chile Vamos","Pilar","Cuevas","Mardones","Femenino","Renovación Nacional","No","","","","",""
"Senador(a)","Chile Vamos","Ana","Verdugo","Badilla","Femenino","Renovación Nacional","No","","","","",""
"Senador(a)","Chile Vamos","David","Sandoval","Plaza","Masculino","Partido Unión Demócrata Independiente","No","","","","",""
"Senador(a)","Chile Vamos","Rodolfo","Barbosa","Barrios","Masculino","Independiente","No","","","","",""
"Senador(a)","Chile Vamos","José","Durana","Semir","Masculino","Partido Unión Demócrata Independiente","No","","","","",""
"Senador(a)","Chile Vamos","Mirtha","Arancibia","Cruz","Femenino","Renovación Nacional","No","","","","",""
